filestem	chapter	unit_of_analysis	actor_configuration	narrative_framing	legitimation_strategy	enemy_moral_status	embodiment_mode	violence_visibility	agency_level	narrative_summary	confidence_score
511_1940	1	video_chapter	collective_military	heroic_combat;inevitable_victory;technological_modernity	none	weaker_enemy	disciplined_masculinity;emotionally_restrained;neutral_military_presence	implied	high	This chapter emphasizes the coordinated might of the Luftwaffe as disciplined collectives strike enemy positions with technological prowess. Violence is implied through images of aerial bombardment and night-time explosions, while the enemy is depicted as failing and on the run, reinforcing an image of inevitable German victory. Soldiers appear emotionally restrained and disciplined, with no sign of wounded or vulnerable bodies.	0.97
511_1940	2	video_chapter	collective_military	heroic_combat;administrative_normality	none	none	disciplined_masculinity;neutral_military_presence	implied	high	The visual material focuses on German troops advancing in an orderly and determined manner, using vehicles and moving through ruined landscapes, with no specific enemy presence. The narration emphasizes military progress and logistical efficiency, framing the campaign as a series of decisive, well-coordinated movements. Explicit justification or moral framing regarding the enemy is absent, while violence is present only through implication and aftermath.	0.95
511_1940	3	video_chapter	collective_military	occupation_normalization;administrative_normality	none	criminalized_enemy	disciplined_masculinity;neutral_military_presence	implied	medium	The chapter depicts German soldiers advancing through an industrial area marked by widespread destruction and burning infrastructure, purportedly caused by a retreating and destructive enemy. The narration frames the enemy as criminalized for deliberately destroying property and abandoning livestock, while positioning German troops as organized and in control within a largely depopulated, damaged landscape. The overall tone normalizes military occupation and administrative order following disruption.	0.95
511_1940	4	video_chapter	collective_military;enemy_focus	heroic_combat;inevitable_victory;comradely_front	none	weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	This chapter depicts German soldiers as a disciplined, cohesive collective engaging in successful offensive maneuvers, coordinated artillery attacks, and steady advancement. The enemy is shown as overwhelmed and surprised, with images of captured French soldiers reinforcing the narrative of German superiority and inevitable victory. Direct violence is not shown but is clearly implied through descriptions of destroyed enemy equipment and the aftermath of battle.	0.95
511_1940	5	video_chapter	collective_military	heroic_combat;inevitable_victory	none	legitimate_opponent	disciplined_masculinity;neutral_military_presence	implied	high	The chapter depicts German troops as a disciplined and coordinated military collective advancing through destroyed urban landscapes, suggesting overwhelming force and inevitability of conquest. The narration frames the French as a determined but ultimately defeated opponent, highlighting German military effectiveness. The absence of explicit justification marks the focus on battlefield accomplishment and material destruction.	0.95
511_1940	6	video_chapter	collective_military;enemy_focus;mixed_interaction	inevitable_victory;administrative_normality	none	weaker_enemy	disciplined_masculinity;neutral_military_presence	absent	high	The chapter depicts German soldiers as calm, disciplined, and in control following a significant victory. The enemy, consisting of French and British officers and soldiers, is shown passively surrendering, emphasizing the German military's superiority and administrative control. No violence is depicted, and the surrender process appears orderly and routine, framing the Germans’ victory as both inevitable and normalized.	0.97
511_1940	7	video_chapter	collective_military;enemy_focus	administrative_normality;technological_modernity	none	legitimate_opponent	disciplined_masculinity;neutral_military_presence	implied	high	This chapter presents the German military as a disciplined and efficient collective, systematically overcoming French defenses and obstacles with technical skill. The narration emphasizes logistical achievements and portrays enemy actions (destroying bridges, setting mines) as legitimate wartime resistance rather than criminal. No explicit violence is shown, but its traces are present in the clearing of mines and obstacles.	0.93
511_1940	8	video_chapter	collective_military	heroic_combat;defensive_war;cultural_guardianship	defensive;civilizing	criminalized_enemy;dehumanized_enemy	disciplined_masculinity;neutral_military_presence	implied	high	The chapter presents disciplined German soldiers collectively engaged in fierce urban combat in Rouen, set against dramatic imagery of destruction and burning cityscapes. German actions are framed as both brave military struggle and as efforts to protect cultural heritage, positioning the French and English enemies as reckless, criminal, and destructive. The narrative justifies the German campaign as both defensive and civilizing, emphasizing German restraint and guardianship amid enemy-inflicted chaos.	0.98
511_1940	9	video_chapter	collective_military;civilian_collective	humanitarian_relief;occupation_normalization	humanitarian	weaker_enemy	neutral_military_presence;emotionally_restrained	absent	medium	This chapter depicts German military and NSV personnel distributing food to French civilians, including children and elderly. The narration frames the scene as humanitarian assistance provided in the wake of the enemy's retreat, positioning German forces as benefactors while normalizing their presence. Violence is absent, and the represented bodies of German personnel are disciplined but emotionally restrained.	0.95
511_1940	10	video_chapter	collective_military;civilian_collective	administrative_normality;humanitarian_relief	humanitarian	none	neutral_military_presence	absent	medium	This chapter presents Organization Todt as efficiently providing relief and restoring order after destruction, with visible bread distribution and civilian aid. The visual and verbal emphasis is on administrative normality and humanitarian intervention, showing both military and civilian groups without displays of violence or enemy imagery. Relief efforts are framed as immediate, effective, and benevolent, supporting a narrative of constructive occupation.	0.95
511_1940	11	video_chapter	collective_military	heroic_combat	none	none	disciplined_masculinity;neutral_military_presence	implied	high	This chapter depicts the German military advancing towards Paris, with emphasis on coordinated artillery bombardment and movement into contested urban areas. Soldiers are shown as disciplined and organized, with violence present through imagery of heavy bombardment and destruction, though direct combat is not visually explicit. The narrative frames the events as a heroic military operation, without explicit justification or explicit enemy depiction.	0.95
511_1940	12	video_chapter	collective_military	administrative_normality;occupation_normalization	none	none	disciplined_masculinity;neutral_military_presence	absent	high	The chapter depicts disciplined German troops advancing in an orderly, collective manner through French countryside and towns, emphasizing logistical competence and routine military presence. The narration calmly reports the removal of barricades and the progress of troops, with no reference to combat, enemy forces, or violence. This frames the occupation as a matter-of-fact administrative process, normalizing military control and projecting authority.	0.95
511_1940	13	video_chapter	collective_military	heroic_combat;inevitable_victory	none	legitimate_opponent	disciplined_masculinity;neutral_military_presence	implied	high	This chapter depicts disciplined German soldiers advancing methodically past destroyed enemy defenses, with visuals of weaponry, fortifications, and the proximity to Paris reinforcing the sense of progress and victory. The narration frames the French as offering brief, desperate resistance before being quickly overcome, underpinning German military effectiveness. Violence is implied but not shown directly, while the collective military is presented as an invulnerable, highly capable force facing a legitimate, yet outmatched, opponent.	0.95
511_1940	14	video_chapter	collective_military;enemy_focus	inevitable_victory;administrative_normality	none	weaker_enemy	disciplined_masculinity;neutral_military_presence	absent	high	The chapter depicts German troops in orderly control as they process multiple enemy prisoners, who are shown surrendering with raised hands. The absence of violence and the routine conduct of both sides underline themes of administrative normality and inevitable German victory, portraying the enemy as passive and weakened. German soldiers are represented as disciplined and authoritative, with no indication of brutality.	0.96
511_1940	15	video_chapter	collective_military	heroic_combat;inevitable_victory	retaliatory	legitimate_opponent;criminalized_enemy	none	absent	high	This chapter emphasizes the symbolic reversal of the 1918 Armistice at Compiègne, presenting German forces as reclaiming national honor after past humiliation. The French enemy is constructed as previously triumphant but now subject to German retribution, with a triumphalist and retaliatory undertone. No violence or embodied soldiers are visually present; the narrative relies on monuments, commemorative sites, and symbolism to assert German agency and inevitable victory.	0.95
511_1940	16	video_chapter	collective_military	heroic_combat;administrative_normality	none	none	disciplined_masculinity;neutral_military_presence	implied	high	The chapter depicts German soldiers as organized and disciplined as they advance through devastated villages, cleansing areas and progressing toward Paris. The narration frames their actions in terms of determined military operations and historic continuity, with violence and enemy presence implied but not visually foregrounded. The focus remains on German collective action and operational proficiency rather than on direct confrontation or explicit legitimation.	0.9
511_1940	17	video_chapter	collective_military	heroic_combat;comradely_front;technological_modernity	none	none	disciplined_masculinity;emotionally_restrained	implied	high	The video chapter depicts German soldiers as a disciplined and efficient collective engaged in a complex river crossing under implied enemy fire, employing coordinated teamwork and technological prowess. The focus is on technical achievement, orderly advance, and emotional restraint, with the enemy mentioned only as an abstract obstacle rather than visually depicted or morally framed. Violence is implied through references to artillery and pioneer operations, but not shown directly; the overall tone emphasizes determined action and collaborative heroism.	0.95
511_1940	18	video_chapter	collective_military	heroic_combat;technological_modernity;administrative_normality	defensive	legitimate_opponent	disciplined_masculinity;neutral_military_presence	implied	high	The sequence depicts disciplined, collective German military units advancing through the countryside, with a focus on orderly movement, technological assets, and logistical operations. The narration frames the actions as part of a prepared and defensive military progression, emphasizing readiness against tank attacks and careful crossing of obstacles without overt violence. The enemy is constructed as a legitimate, prepared opponent without explicit demonization, and the soldiers are shown as coordinated, calm, and capable.	0.95
511_1940	19	video_chapter	enemy_focus	heroic_combat;inevitable_victory	none	weaker_enemy	wounded_body;neutral_military_presence	implied	high	The video chapter visually depicts captured and wounded enemy soldiers at Fort Brimont, with evidence of destruction to enemy fortifications. The narration frames the German military as overwhelmingly powerful, emphasizing the destructive impact of their weaponry and portraying the enemy as defeated and weakened. The focus is on victorious combat and the demoralized condition of the foe.	0.95
511_1940	20	video_chapter	collective_military	heroic_combat;inevitable_victory;administrative_normality	none	legitimate_opponent;weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	German soldiers are depicted advancing rapidly and in disciplined formation through an urban environment, overcoming resistance and pursuing a retreating enemy. The narration frames the operation as a relentless military advance, noting street fighting but emphasizing unstoppable momentum and lack of destruction to cultural sites. The enemy is positioned as valiant but ultimately weaker, with violence implied rather than graphically shown.	0.93
511_1940	21	video_chapter	collective_military;enemy_focus	heroic_combat;comradely_front	defensive	legitimate_opponent	disciplined_masculinity;neutral_military_presence	implied	high	The video chapter depicts German soldiers collectively advancing through a smoke-filled, burning town, confronting entrenched French forces. The narration emphasizes strategic resistance by the enemy and presents the German assault as methodical and disciplined, highlighting the tactical overcoming of opposition. Violence is implied through both visuals of destruction and the description of combat, while the enemy is portrayed as a legitimate but ultimately subdued opponent.	0.95
511_1940	22	video_chapter	collective_military	heroic_combat;defensive_war	defensive	legitimate_opponent	disciplined_masculinity;neutral_military_presence	implied	high	The chapter depicts disciplined German troops methodically advancing and searching through debris-filled streets and houses, suggesting a careful and organized military operation. The narration frames their actions as a necessary response to an ongoing enemy presence, emphasizing the need for caution and security. Violence is implied through the ruinous setting and tactical maneuvers, while the troops are positioned as collectively heroic and vigilant defenders.	0.9
511_1940	23	video_chapter	collective_military;enemy_focus	heroic_combat;inevitable_victory	none	weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	This chapter frames German troops as a disciplined, determined collective overcoming adversity during their advance towards Paris. The visuals highlight organized military maneuvers, river crossings, and the relentless progression of armored units, while the narration celebrates their relentlessness, technical abilities, and successes against a retreating enemy. The enemy is depicted as weaker, barely resisting and forced to resort to desperate measures, reinforcing the narrative of German military superiority and inevitability of victory.	0.95
511_1940	24	video_chapter	collective_military	inevitable_victory;occupation_normalization;technological_modernity	none	none	disciplined_masculinity;neutral_military_presence	absent	high	This chapter visually displays organized German military units occupying iconic French landmarks, with no visible violence or enemy figures. The narration frames the event as a triumphant and orderly achievement marking the subjugation of France, emphasizing technological prowess and national destiny, while normalizing the new occupation. No explicit legitimation or enemy moral status is articulated.	0.95
511_1940	25	video_chapter	collective_military	inevitable_victory;administrative_normality	none	weaker_enemy;criminalized_enemy	disciplined_masculinity;neutral_military_presence	absent	high	The chapter visually depicts organized, disciplined German military forces parading through Paris, marked by the ceremonial raising of the Reichskriegsflagge and commanding officers reviewing the troops. The narration underscores the decline and humiliation of French and British forces, emphasizing German dominance and victory, while characterizing the enemy as weakened and arrogant elites. No justification for the invasion is articulated; instead, the sequence normalizes and glorifies German occupation as a matter of fact.	1.0
511_1940	26	video_chapter	collective_military	inevitable_victory;administrative_normality	none	weaker_enemy	disciplined_masculinity;neutral_military_presence	absent	high	The chapter depicts a disciplined and orderly collective of German soldiers advancing, with no visible violence or explicit combat. The narration emphasizes the inevitability of German victory through the fall of Verdun and French surrender, framing the enemy as having no choice but to submit. The absence of direct violence and the routine representation of movement underline a sense of administrative normality in military operations.	0.95
512_1940	1	video_chapter	collective_military;enemy_focus	heroic_combat;inevitable_victory	none	legitimate_opponent;weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	This video chapter depicts coordinated and disciplined German naval forces engaging and defeating British ships in a series of meticulously presented operations. The narration frames the actions as a series of heroic and victorious encounters, emphasizing the Navy's technical superiority and collective prowess, while rendering the enemy both formidable and ultimately weaker. Violence and destruction are present but visually mediated through distant or aftermath imagery, reinforcing an image of controlled martial effectiveness.	0.95
512_1940	3	video_chapter	collective_military	heroic_combat;technological_modernity;inevitable_victory	none	legitimate_opponent	disciplined_masculinity;neutral_military_presence	implied	high	This chapter presents disciplined German soldiers executing a technically sophisticated and determined crossing of the Rhine, highlighting their collective organization and resilience. The visuals of coordinated military action, bridge construction, and engagement with enemy fortifications complement the narration’s emphasis on training, willpower, and unbroken advance. The enemy is depicted as legitimate and formidable, but the narrative frames inevitable German progress through heroic and modern military capability.	0.95
512_1940	4	video_chapter	collective_military	heroic_combat;liberation_mission	civilizing	none	disciplined_masculinity;neutral_military_presence	implied	high	This chapter depicts disciplined German military units advancing through reclaimed towns and engaging in coordinated combat, framed as a heroic and civilizing mission to liberate an 'old German city' from foreign rule. The absence of visible enemy personnel and wounded bodies, combined with narration emphasizing victory and historical re-possession, positions the soldiers as agents of restoration and order. Violence is implied through battle references and destruction, while the enemy remains visually and morally absent.	0.95
512_1940	5	video_chapter	collective_military;civilian_collective	occupation_normalization;cultural_guardianship	civilizing;none	weaker_enemy;none	disciplined_masculinity;neutral_military_presence	implied	high	German troops are depicted as a cohesive, disciplined force entering Metz, accompanied by civilian crowds and references to Germanic cultural heritage. The narration frames the episode as a civilizing mission, with the German presence portrayed as marking a joyful and positive transformation for the city. Limited references to resistance and destruction by the retreating French imply a weaker enemy, while German soldiers are positioned as bringers of order and custodians of culture.	0.95
512_1940	6	video_chapter	collective_military	heroic_combat;inevitable_victory	none	legitimate_opponent	disciplined_masculinity;neutral_military_presence	implied	high	The chapter presents disciplined, invulnerable German infantry collectively overcoming the formidable French fortress of Verdun. The narration frames the assault as a heroic and glorious triumph, emphasizing German resilience and military prowess while treating the French as a worthy but ultimately defeated opponent. Explicit violence is absent, but destruction and hardship are implied, reinforcing the inevitable German victory.	0.95
512_1940	7	video_chapter	collective_military;enemy_focus	inevitable_victory;civilizational_struggle	civilizing	dehumanized_enemy;criminalized_enemy	neutral_military_presence	absent	high	The newsreel chapter depicts the aftermath of a decisive German victory, focusing on large groups of captured enemy soldiers under German control. The narration frames the surrender as inevitable and draws on civilizational rhetoric to demean the defeated forces, particularly referencing racialized stereotypes. Violence is not shown, and the German soldiers appear as a disciplined, neutral collective exerting dominance.	0.98
512_1940	8	video_chapter	collective_military;enemy_focus	heroic_combat;inevitable_victory	none	criminalized_enemy;dehumanized_enemy;weaker_enemy	disciplined_masculinity;wounded_body;neutral_military_presence	implied	high	The chapter visually highlights disciplined German tank crews and the aftermath of battle, showing both invulnerable and wounded bodies among enemy soldiers, while omitting explicit scenes of violence. The narration frames the German troops as relentless victors against a criminalized and dehumanized enemy, emphasizing the inevitability of German success. The enemy’s defeat and weakness are underscored, and the German military is portrayed as a cohesive, triumphant collective.	0.95
